epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,123.002,0.45886,0.52718,0.37108,0.92019,0,0.91598,0.67097,0.6678,0.53711,0.91598,0.67097,0.6678,0.39173,0.98232,4.67925,1.184,1.321,0,0.000851333,0.000851333,0.000851333
40,126.142,0.43145,0.48505,0.35493,0.90796,0,0.66294,0.59355,0.56378,0.45182,0.55453,0.64516,0.53495,0.35482,0.86202,5.26622,1.30043,1.20406,0,0.000843851,0.000843851,0.000843851
41,129.136,0.42498,0.54229,0.35216,0.92428,0,0.77999,0.65806,0.64475,0.49884,0.64298,0.66452,0.58219,0.37593,0.83851,6.02546,1.09312,1.26533,0,0.00083622,0.00083622,0.00083622
42,132.181,0.42246,0.51701,0.33862,0.91768,0,0.7754,0.56774,0.62026,0.46438,0.63075,0.46452,0.55094,0.33039,0.89609,6.20294,1.54048,1.28245,0,0.000828443,0.000828443,0.000828443
43,135.199,0.41453,0.50701,0.35165,0.90808,0,0.87533,0.63417,0.66316,0.49467,0.87533,0.63417,0.66093,0.3584,0.87813,6.41776,1.23382,1.38744,0,0.000820525,0.000820525,0.000820525
44,138.222,0.40369,0.49314,0.34701,0.88871,0,0.96892,0.60336,0.6696,0.49941,0.96892,0.60336,0.66871,0.38573,0.86207,6.10752,1.36606,1.19481,0,0.000812468,0.000812468,0.000812468
45,141.235,0.394,0.47,0.31389,0.87657,0,1,0.62372,0.67407,0.48926,1,0.62372,0.6737,0.37035,0.98814,6.27139,1.44103,1.22946,0,0.000804277,0.000804277,0.000804277
46,144.28,0.42153,0.52749,0.34255,0.90553,0,0.99903,0.67742,0.675,0.47095,0.99903,0.67742,0.675,0.36772,1.10486,5.82603,1.33675,1.43201,0,0.000795954,0.000795954,0.000795954
47,147.363,0.43079,0.50022,0.34271,0.91281,0,0.82369,0.65806,0.64761,0.50563,0.77353,0.63226,0.63047,0.36519,0.87803,5.11174,1.34679,1.18072,0,0.000787503,0.000787503,0.000787503
48,150.403,0.40656,0.49484,0.33729,0.88845,0,0.55826,0.61935,0.53255,0.35076,0.9958,0.32258,0.3888,0.27825,1.31012,4.70399,1.62504,2.2413,0,0.000778929,0.000778929,0.000778929
49,153.448,0.38614,0.47554,0.31751,0.86725,0,0.98034,0.64334,0.6732,0.50554,0.98034,0.64334,0.6732,0.38174,0.86763,4.99048,1.06144,1.44055,0,0.000770234,0.000770234,0.000770234
50,156.562,0.403,0.50765,0.34205,0.898,0,0.9983,0.67742,0.675,0.53553,0.9983,0.67742,0.675,0.35061,0.82784,6.20261,1.51157,1.27899,0,0.000761423,0.000761423,0.000761423
51,159.651,0.40536,0.46791,0.33152,0.9096,0,0.99764,0.67742,0.675,0.55518,0.99764,0.67742,0.675,0.34057,0.78475,6.33236,1.4652,1.2294,0,0.0007525,0.0007525,0.0007525
52,162.732,0.38617,0.47428,0.32307,0.87895,0,0.99893,0.67742,0.675,0.5486,0.99893,0.67742,0.675,0.33199,0.83881,6.42859,1.04147,1.21183,0,0.000743468,0.000743468,0.000743468
53,165.798,0.37074,0.39717,0.31442,0.89256,0,0.83488,0.67097,0.66124,0.51942,0.695,0.66157,0.58261,0.33284,0.8035,6.7756,1.14624,1.19972,0,0.000734332,0.000734332,0.000734332
54,168.846,0.37223,0.43085,0.31813,0.89189,0,0.97622,0.67097,0.67481,0.45245,0.55638,0.60645,0.52597,0.3267,0.84093,5.99921,1.34259,1.33539,0,0.000725094,0.000725094,0.000725094
55,171.842,0.37826,0.44896,0.31383,0.89124,0,0.60823,0.61099,0.54176,0.42322,0.60275,0.59355,0.53442,0.36513,0.82335,5.99359,1.27316,1.28502,0,0.000715761,0.000715761,0.000715761
56,174.896,0.38036,0.43837,0.32019,0.88332,0,0.48933,0.43226,0.49091,0.32443,0.55477,0.32258,0.40622,0.2332,0.8882,8.66434,2.43134,1.19256,0,0.000706335,0.000706335,0.000706335
57,177.913,0.35135,0.42793,0.29569,0.87254,0,0.98655,0.32258,0.49141,0.39487,0.98655,0.32258,0.48206,0.26291,0.76356,9.22103,1.95909,1.07597,0,0.00069682,0.00069682,0.00069682
58,180.905,0.3732,0.46371,0.31888,0.86627,0,1,0.38369,0.64347,0.53085,1,0.38369,0.64347,0.38433,0.68518,7.57741,1.64415,1.03074,0,0.000687222,0.000687222,0.000687222
59,183.882,0.38036,0.42112,0.32288,0.87499,0,1,0.32896,0.56193,0.50733,1,0.32896,0.56193,0.35945,0.71403,8.0984,1.95625,1.0583,0,0.000677543,0.000677543,0.000677543
60,186.901,0.38578,0.43555,0.32205,0.87761,0,0.98382,0.39233,0.62502,0.48809,0.98382,0.39233,0.62502,0.34581,0.85024,7.99767,1.66728,1.14416,0,0.000667789,0.000667789,0.000667789
61,189.911,0.35413,0.3717,0.30493,0.87047,0,0.97077,0.64285,0.67245,0.52315,0.96672,0.63871,0.67124,0.42005,0.91337,6.95659,1.05412,1.23732,0,0.000657963,0.000657963,0.000657963
62,193.022,0.36714,0.37494,0.30454,0.88175,0,0.91574,0.63109,0.66115,0.54212,0.91574,0.63109,0.66115,0.43981,0.82738,6.08253,1.02796,1.17043,0,0.000648071,0.000648071,0.000648071
63,196.053,0.34583,0.40857,0.29476,0.89626,0,0.91489,0.65806,0.66974,0.50853,0.91489,0.65806,0.66974,0.46489,0.88362,5.68702,1.17415,1.18845,0,0.000638115,0.000638115,0.000638115
64,199.06,0.3477,0.384,0.28717,0.86988,0,0.99814,0.67097,0.675,0.50716,0.99814,0.67097,0.675,0.43955,0.84687,5.39436,1.22282,1.22296,0,0.000628101,0.000628101,0.000628101
65,202.043,0.3584,0.40395,0.28326,0.87495,0,0.66365,0.49645,0.54998,0.40376,0.66365,0.49645,0.54998,0.35166,0.98318,5.09137,1.76684,1.35195,0,0.000618034,0.000618034,0.000618034
66,205.025,0.35174,0.39044,0.2889,0.87951,0,0.51268,0.54839,0.5044,0.36337,0.51268,0.54839,0.5044,0.31343,1.17177,5.12904,1.7388,1.54491,0,0.000607916,0.000607916,0.000607916
67,208.009,0.38513,0.42019,0.30824,0.88184,0,0.44285,0.54871,0.48843,0.38182,0.44285,0.54871,0.48843,0.32488,1.17005,5.58219,1.75993,1.55145,0,0.000597754,0.000597754,0.000597754
68,210.941,0.36158,0.4173,0.28924,0.88305,0,0.60359,0.38312,0.5162,0.38104,0.60359,0.38312,0.5162,0.32151,1.07947,6.5531,1.92263,1.49407,0,0.000587551,0.000587551,0.000587551
69,213.917,0.3371,0.38811,0.28306,0.88162,0,0.99279,0.32258,0.51881,0.39302,0.99279,0.32258,0.51068,0.28958,1.11251,7.89734,2.12963,1.60083,0,0.000577311,0.000577311,0.000577311
70,216.913,0.35372,0.44363,0.29692,0.89596,0,0.63164,0.6,0.5904,0.41547,0.62641,0.57335,0.57361,0.33199,1.08034,8.27539,1.63131,1.58372,0,0.00056704,0.00056704,0.00056704
71,219.923,0.34768,0.41196,0.29258,0.87016,0,0.80144,0.6,0.63942,0.44588,0.80144,0.6,0.63942,0.38219,1.09577,7.01239,1.64172,1.59872,0,0.000556742,0.000556742,0.000556742
72,222.937,0.34528,0.42035,0.29434,0.88413,0,1,0.66772,0.675,0.51972,1,0.66772,0.675,0.42938,0.91943,6.27063,0.93975,1.53127,0,0.000546421,0.000546421,0.000546421
73,225.974,0.3484,0.43545,0.28768,0.87898,0,0.9674,0.66452,0.67444,0.53455,0.9674,0.66452,0.67444,0.42029,0.80308,5.96793,0.81742,1.27418,0,0.000536081,0.000536081,0.000536081
74,228.969,0.35245,0.40563,0.29203,0.88659,0,0.6925,0.63929,0.61836,0.46447,0.6925,0.63929,0.61836,0.38724,0.78168,5.5158,1.10674,1.18216,0,0.000525728,0.000525728,0.000525728
75,232.001,0.35108,0.40284,0.2908,0.88638,0,0.66812,0.51953,0.56904,0.43334,0.66812,0.51953,0.56904,0.38562,0.9489,4.90099,1.6358,1.378,0,0.000515366,0.000515366,0.000515366
76,235.001,0.34408,0.3873,0.28565,0.87499,0,0.63804,0.54839,0.57295,0.40289,0.60681,0.52258,0.56103,0.38697,1.02267,4.81451,1.75021,1.39905,0,0.000505,0.000505,0.000505
77,238.024,0.33178,0.41096,0.28144,0.88224,0,0.54539,0.51085,0.52067,0.38403,0.50282,0.47097,0.51528,0.35679,1.07625,4.95577,1.78739,1.46293,0,0.000494634,0.000494634,0.000494634
78,241.077,0.34671,0.37602,0.2877,0.8916,0,0.99322,0.32258,0.50793,0.35523,0.99322,0.32258,0.49019,0.32249,1.21775,5.23452,1.92953,1.47774,0,0.000484272,0.000484272,0.000484272
79,244.102,0.31101,0.35577,0.26939,0.872,0,0.99696,0.32258,0.3906,0.31186,0.99696,0.32258,0.38082,0.27257,1.19386,5.72983,2.35709,1.40272,0,0.000473919,0.000473919,0.000473919
80,247.127,0.30237,0.38291,0.25861,0.86599,0,0.78208,0.38065,0.55993,0.4186,0.78208,0.38065,0.55933,0.3666,0.97838,6.10264,1.62859,1.26928,0,0.000463579,0.000463579,0.000463579
81,250.14,0.31129,0.35143,0.27949,0.87235,0,0.96313,0.67407,0.67405,0.55298,0.96313,0.67407,0.67405,0.43746,0.78084,6.08824,0.89055,1.16632,0,0.000453258,0.000453258,0.000453258
82,253.143,0.29728,0.34593,0.25178,0.85502,0,0.98235,0.66452,0.67481,0.51089,0.98235,0.66452,0.67481,0.42303,0.9127,6.02712,1.07637,1.29657,0,0.00044296,0.00044296,0.00044296
83,256.081,0.30638,0.42893,0.26043,0.86102,0,1,0.55648,0.675,0.46566,1,0.55648,0.675,0.42271,1.09394,5.94545,1.49289,1.45046,0,0.000432689,0.000432689,0.000432689
84,259.048,0.29715,0.37241,0.26116,0.86799,0,0.8608,0.47877,0.63196,0.41397,0.8608,0.47877,0.63196,0.3669,1.00704,6.69661,1.96597,1.30136,0,0.000422449,0.000422449,0.000422449
85,262.037,0.32294,0.36725,0.27891,0.87655,0,0.53093,0.66452,0.5548,0.38097,0.52577,0.65806,0.54816,0.30585,0.92592,7.56573,2.10586,1.25825,0,0.000412246,0.000412246,0.000412246
86,265.014,0.28557,0.33534,0.24685,0.85089,0,0.42683,0.67742,0.57524,0.3975,0.42276,0.67097,0.5739,0.31193,0.8647,7.77294,1.92914,1.22929,0,0.000402084,0.000402084,0.000402084
87,268.043,0.28611,0.36003,0.25531,0.86505,0,0.63636,0.67742,0.66203,0.44522,0.63636,0.67742,0.66203,0.34014,0.82667,6.96661,1.99935,1.21945,0,0.000391966,0.000391966,0.000391966
88,271.02,0.31619,0.36943,0.258,0.87123,0,0.54386,0.6,0.5435,0.38601,0.54386,0.6,0.5435,0.32644,0.7949,6.29028,2.3143,1.18241,0,0.000381899,0.000381899,0.000381899
89,273.981,0.28951,0.32337,0.24829,0.84588,0,0.4604,0.6,0.49025,0.35167,0.4604,0.6,0.49025,0.30457,0.75747,6.09842,2.38636,1.16257,0,0.000371885,0.000371885,0.000371885
90,276.958,0.29292,0.34562,0.2507,0.86456,0,0.47511,0.67742,0.59475,0.40571,0.47511,0.67742,0.59475,0.33624,0.81104,5.68826,2.01135,1.21424,0,0.000361929,0.000361929,0.000361929
91,279.929,0.27413,0.31939,0.24698,0.85022,0,0.84451,0.41935,0.61808,0.42309,0.84451,0.41935,0.61808,0.3568,0.93491,5.58974,1.60893,1.27347,0,0.000352037,0.000352037,0.000352037
92,282.905,0.29301,0.34213,0.25515,0.86682,0,0.75452,0.59491,0.60342,0.39263,0.70542,0.5562,0.53795,0.29211,1.22641,6.45598,1.40593,1.46472,0,0.000342211,0.000342211,0.000342211
93,285.889,0.2791,0.33806,0.24285,0.85288,0,0.73864,0.63815,0.60621,0.41965,0.7167,0.60645,0.57274,0.32808,0.96437,7.24926,1.18202,1.30264,0,0.000332457,0.000332457,0.000332457
94,288.911,0.25444,0.29495,0.22603,0.84753,0,0.74098,0.62751,0.60985,0.44028,0.72541,0.61358,0.59787,0.33276,0.86445,7.24384,1.14344,1.16891,0,0.000322778,0.000322778,0.000322778
95,291.907,0.26345,0.28405,0.23644,0.85771,0,0.79841,0.56129,0.61593,0.45128,0.81133,0.55484,0.61485,0.36352,0.82641,7.13937,1.16331,1.13978,0,0.00031318,0.00031318,0.00031318
96,294.888,0.26872,0.28502,0.23536,0.85153,0,0.88587,0.40063,0.6178,0.50415,0.88587,0.40063,0.61386,0.37487,0.68527,6.96503,1.31526,1.09089,0,0.000303665,0.000303665,0.000303665
97,297.885,0.268,0.34361,0.24076,0.8653,0,0.968,0.3904,0.63844,0.55379,0.968,0.3904,0.63456,0.39382,0.60297,6.63031,1.38648,1.08589,0,0.000294239,0.000294239,0.000294239
98,300.886,0.27425,0.31588,0.23752,0.85819,0,0.95165,0.38093,0.57524,0.47233,0.92216,0.36774,0.53807,0.35799,0.61614,6.73514,1.51994,1.16047,0,0.000284906,0.000284906,0.000284906
99,303.864,0.26646,0.32329,0.22657,0.8475,0,0.98381,0.39199,0.54338,0.42409,0.9988,0.32258,0.45164,0.32808,0.66361,6.85379,1.62223,1.23605,0,0.000275668,0.000275668,0.000275668
100,306.845,0.26853,0.28613,0.24228,0.86101,0,0.94707,0.36129,0.53323,0.40209,0.99861,0.32258,0.38341,0.29342,0.97829,7.34965,1.67573,1.51836,0,0.000266532,0.000266532,0.000266532
101,309.849,0.25645,0.32201,0.22773,0.84821,0,0.9986,0.32258,0.44383,0.33684,0.9986,0.32258,0.37204,0.30481,1.12305,6.90272,1.80321,1.58642,0,0.0002575,0.0002575,0.0002575
102,312.874,0.27116,0.31146,0.23546,0.86834,0,1,0.32863,0.43171,0.3326,0.99858,0.32258,0.37664,0.30457,1.18938,6.63439,1.9019,1.47499,0,0.000248577,0.000248577,0.000248577
103,315.881,0.25579,0.27626,0.23601,0.86124,0,0.93604,0.34194,0.47582,0.34688,0.99846,0.32258,0.4073,0.29297,1.15591,6.39475,1.83109,1.39854,0,0.000239766,0.000239766,0.000239766
104,318.907,0.25354,0.31097,0.22361,0.84802,0,0.93722,0.38524,0.59895,0.45226,0.91038,0.37419,0.57689,0.36829,0.8602,5.81409,1.5311,1.19388,0,0.000231071,0.000231071,0.000231071
105,321.947,0.27512,0.30669,0.24129,0.85781,0,0.92119,0.4,0.62979,0.49852,0.92119,0.4,0.62932,0.41003,0.8137,5.88642,1.39025,1.19661,0,0.000222497,0.000222497,0.000222497
106,324.917,0.2375,0.28348,0.21976,0.85602,0,0.86955,0.47307,0.6309,0.47482,0.84583,0.46017,0.62588,0.40827,0.83337,5.93467,1.32207,1.20019,0,0.000214046,0.000214046,0.000214046
107,327.901,0.25371,0.31864,0.215,0.84172,0,0.87222,0.48443,0.6213,0.46762,0.81236,0.47486,0.60757,0.39239,0.77154,5.91771,1.33482,1.17427,0,0.000205723,0.000205723,0.000205723
108,330.918,0.24969,0.32205,0.23152,0.83889,0,0.87885,0.43871,0.60998,0.43282,0.77071,0.3871,0.57115,0.35631,0.84112,6.45029,1.47628,1.26702,0,0.000197532,0.000197532,0.000197532
109,333.931,0.27253,0.3146,0.22681,0.85126,0,0.85814,0.42581,0.59835,0.411,0.76834,0.38519,0.5602,0.32649,0.93196,7.21168,1.4687,1.33282,0,0.000189475,0.000189475,0.000189475
110,336.96,0.24535,0.25505,0.21855,0.85077,0,0.8223,0.59711,0.63198,0.44886,0.73971,0.60505,0.59297,0.35363,0.85262,7.51219,1.17253,1.23304,0,0.000181557,0.000181557,0.000181557
111,339.898,0.23053,0.25737,0.21091,0.83873,0,0.83881,0.5036,0.63101,0.46273,0.77493,0.46648,0.59504,0.35339,0.82912,7.6074,1.30999,1.20191,0,0.00017378,0.00017378,0.00017378
